id	discipline	title	abstract	reference
med-01	medicine	Warm compresses and recovery	In a randomized trial, warm compresses modestly reduced reported soreness after vaccination compared with usual care.	Warm compresses modestly reduce post-vaccination soreness
med-02	medicine	Vitamin D and winter colds	Vitamin D supplementation did not reduce the number of laboratory-confirmed winter colds in healthy adults.	Vitamin D does not reduce winter colds
med-03	medicine	Walking after surgery	Early walking was associated with shorter hospital stays, although residual confounding could explain the association.	Early walking correlates with shorter hospital stays
med-04	medicine	A checklist for pediatric dosing	We introduce and validate a bedside checklist that reduces arithmetic errors in simulated pediatric medication dosing.	Checklist reduces simulated pediatric dosing errors
med-05	medicine	Remote monitoring for hypertension	Home monitoring may improve blood-pressure control, but confidence intervals include little or no benefit.	Home monitoring may improve blood-pressure control
med-06	medicine	Antibiotics for uncomplicated cough	This systematic review finds little evidence that antibiotics meaningfully shorten uncomplicated cough duration.	Antibiotics provide little benefit for uncomplicated cough
med-07	medicine	Sleep and migraine recurrence	Short sleep predicted migraine recurrence but the observational design cannot establish that sleep loss caused recurrence.	Short sleep predicts but may not cause migraine recurrence
med-08	medicine	Two rehabilitation schedules	Intensive and distributed rehabilitation produced similar mobility gains at twelve weeks after stroke.	Rehabilitation schedules yield similar twelve-week mobility gains
med-09	medicine	Detecting sepsis from vital signs	A compact risk score identified impending sepsis earlier than the hospital alert in retrospective records.	Compact score detects sepsis earlier retrospectively
med-10	medicine	Patient narratives in oncology	Interviews suggest that continuity with one clinician can reduce uncertainty during cancer treatment decisions.	Clinician continuity may reduce treatment uncertainty
life-01	life-science	Urban light and moth activity	Nighttime illumination reduced moth feeding activity in field enclosures, with larger effects under blue-rich light.	Blue-rich night light reduces moth feeding
life-02	life-science	Drought memory in seedlings	Previously stressed seedlings showed faster stomatal closure during a second drought, suggesting physiological stress memory.	Prior drought may accelerate later stomatal closure
life-03	life-science	A protocol for single-cell roots	We present a dissociation protocol that increases viable root cells without changing major cell-type proportions.	Protocol increases viable root cells without composition shifts
life-04	life-science	Microbiome diversity and growth	Microbiome diversity correlated with plant growth across plots, but fertilizer exposure explained part of the relationship.	Fertilizer partly explains diversity-growth correlation
life-05	life-science	Protein X is not required	Knockout experiments found that protein X was not required for baseline synaptic transmission in adult mice.	Protein X is not required for baseline transmission
life-06	life-science	Reviewing coral heat tolerance	This review synthesizes evidence that coral heat tolerance depends on host, symbiont, and prior exposure.	Coral heat tolerance has multiple interacting sources
life-07	life-science	Seasonal bird navigation	Juvenile birds adjusted headings after magnetic displacement, consistent with but not proving map-based navigation.	Magnetic displacement responses support possible map navigation
life-08	life-science	Enzyme activity at low temperature	The engineered enzyme retained twice the activity of the wild type at four degrees Celsius.	Engineered enzyme doubles activity at low temperature
life-09	life-science	Pollinator corridors	Flower corridors increased pollinator visits but did not measurably increase seed production during the study.	Corridors increase visits but not seed production
life-10	life-science	Modeling forest succession	We develop a spatial model that links seed dispersal constraints to slow forest recovery after disturbance.	Model links dispersal constraints to slow forest recovery
phys-01	physical-science	Defects in layered conductors	Controlled defects increased low-temperature resistance while leaving the transition temperature approximately unchanged.	Defects increase resistance without shifting transition temperature
phys-02	physical-science	A faster spectral solver	The proposed solver reduces runtime for sparse spectra while maintaining the reference method's numerical accuracy.	Solver accelerates sparse spectra without accuracy loss
phys-03	physical-science	Cloud feedback uncertainty	Satellite observations narrow but do not eliminate uncertainty in estimates of shortwave cloud feedback.	Observations narrow cloud-feedback uncertainty
phys-04	physical-science	No evidence for the predicted phase	Measurements across the tested pressure range found no evidence for the theoretically predicted intermediate phase.	Predicted intermediate phase is not observed
phys-05	physical-science	Mapping an ancient river delta	Sediment profiles are consistent with intermittent river flow, although wind transport remains an alternative explanation.	Profiles may reflect intermittent ancient river flow
phys-06	physical-science	Review of nanoscale heat transfer	This review organizes competing models of nanoscale heat transfer and identifies regimes where each is reliable.	Review maps reliable regimes for heat-transfer models
phys-07	physical-science	Laser stability under vibration	Active feedback reduced frequency drift during laboratory vibration tests by approximately forty percent.	Feedback reduces laser drift during vibration tests
phys-08	physical-science	Estimating distant galaxy masses	A calibrated color estimator recovers simulated galaxy masses with lower bias than two common approximations.	Color estimator lowers simulated galaxy-mass bias
phys-09	physical-science	Ocean mixing beneath ice	Tracer measurements indicate stronger mixing near rough ice boundaries than beneath smooth ice.	Rough ice boundaries show stronger ocean mixing
phys-10	physical-science	A theorem for disordered lattices	We prove a bound connecting local disorder strength to transport suppression in a finite lattice class.	Theorem bounds disorder-related transport suppression
eng-01	engineering-cs	Caching for intermittent networks	Adaptive caching reduced median retrieval delay in simulations of intermittently connected sensor networks.	Adaptive caching reduces simulated retrieval delay
eng-02	engineering-cs	Code assistants and review quality	Developers using a code assistant completed reviews faster but missed slightly more seeded logic defects.	Code assistants speed reviews but miss more defects
eng-03	engineering-cs	A benchmark for multilingual speech	We release a balanced benchmark and evaluation protocol for speech recognition across twelve low-resource languages.	Benchmark evaluates twelve low-resource speech languages
eng-04	engineering-cs	Battery scheduling under uncertainty	Robust scheduling lowered peak demand in field data, with a small increase in modeled battery degradation.	Scheduling lowers peaks with slightly greater degradation
eng-05	engineering-cs	Compression without accuracy gains	The new compression method reduced model size but did not improve accuracy over matched baselines.	Compression shrinks models without improving accuracy
eng-06	engineering-cs	Auditing recommendation exposure	We introduce an audit that estimates group exposure disparities without access to platform ranking code.	Audit estimates exposure disparities without ranking access
eng-07	engineering-cs	Robot learning from corrections	Occasional human corrections improved task completion in one warehouse layout but not in unseen layouts.	Corrections help one layout but not unseen layouts
eng-08	engineering-cs	Review of privacy-preserving analytics	This review compares privacy guarantees, utility tradeoffs, and deployment assumptions across analytics methods.	Review compares private analytics tradeoffs and assumptions
eng-09	engineering-cs	Cooling dense server racks	Rear-door heat exchangers may reduce cooling energy under high loads, based on a three-month pilot.	Heat exchangers may reduce high-load cooling energy
eng-10	engineering-cs	Formal verification of queue fairness	We prove that the scheduler prevents starvation when arrivals satisfy the stated bounded-burst assumption.	Scheduler prevents starvation under bounded bursts
soc-01	social-science	Warm cups and interpersonal judgment	Participants holding warm rather than cold cups judged a target as warmer, but later replications were mixed.	Warm cups may influence interpersonal warmth judgments
soc-02	social-science	Remote work and promotion	Remote work was associated with slower promotion after adjustment, though self-selection remains a plausible explanation.	Remote work correlates with slower promotion
soc-03	social-science	Cash transfers and school attendance	Cash transfers increased attendance for younger students but produced no detectable change among older students.	Cash transfers raise attendance only for younger students
soc-04	social-science	A scale for institutional trust	We develop a five-item trust scale with stable measurement properties across three survey populations.	Five-item trust scale works across survey populations
soc-05	social-science	News labels and belief accuracy	Source labels did not improve average belief accuracy and slightly increased partisan disagreement.	Source labels fail to improve belief accuracy
soc-06	social-science	Reviewing neighborhood effects	The review argues that selection and measurement choices explain much disagreement about neighborhood effects.	Selection and measurement drive neighborhood-effects disagreement
soc-07	social-science	Turn-taking in online meetings	Shorter speaking turns predicted higher satisfaction, but experimental manipulation yielded uncertain effects.	Short turns correlate with meeting satisfaction
soc-08	social-science	Teacher feedback timing	Next-day feedback improved quiz performance relative to one-week feedback in two introductory courses.	Next-day feedback improves introductory quiz performance
soc-09	social-science	Public transit and social connection	A new rail stop coincided with more cross-neighborhood visits, without clear evidence of stronger social ties.	Rail access increases visits but not clear social ties
soc-10	social-science	Modeling collective attention	The model explains rapid attention decay through competition among topics rather than declining individual interest.	Topic competition explains rapid collective attention decay
hum-01	humanities	Metaphor in abolitionist newspapers	Close reading shows how maritime metaphors framed freedom as both movement and collective obligation.	Maritime metaphors link freedom with collective obligation
hum-02	humanities	Revising the archive of early radio	New station logs complicate the prevailing chronology of regional radio's transition to network programming.	Station logs complicate regional radio chronology
hum-03	humanities	A digital edition of coastal letters	We present an annotated digital edition that links dispersed correspondence while preserving uncertain authorship.	Edition links letters while preserving authorship uncertainty
hum-04	humanities	Reviewing translation and empire	This review identifies a shift from studying translated texts to examining translation as colonial infrastructure.	Review reframes translation as colonial infrastructure
hum-05	humanities	Silence in modernist fiction	The article argues that narrative silence marks contested authority rather than simple psychological repression.	Narrative silence marks contested authority
hum-06	humanities	Dating an anonymous manuscript	Watermark and handwriting evidence suggest, but cannot conclusively establish, an earlier date for the manuscript.	Evidence suggests an earlier manuscript date
hum-07	humanities	Against a single authorship	Stylistic variation does not support assigning the entire poem cycle to one author.	Variation undermines single authorship of poem cycle
hum-08	humanities	Mapping performance annotations	A new taxonomy distinguishes rehearsal, staging, and ownership marks in nineteenth-century playbooks.	Taxonomy distinguishes three kinds of playbook annotations
hum-09	humanities	Memory after civil conflict	Oral histories reveal competing family narratives rather than a shared account of postwar reconciliation.	Families retain competing postwar reconciliation narratives
hum-10	humanities	Theory of repair in design	The essay proposes repair as a framework for understanding maintenance, value, and technological time.	Repair framework connects maintenance value and technological time
